date,Population,avg_temperature,rain,num_property_crime,num_violent_crime,num_property_crime_perht,num_violent_crime_perht,dst_start_date,days_from_dst,dst_dummy,day_of_week
2003-02-05,581957,2.59,0,146,6,25.08776421625653,1.0310040088872545,2003-04-06,-60,0,4
2003-02-06,581957,2.75,0,135,8,23.197590199963226,1.3746720118496727,2003-04-06,-59,0,5
2003-02-07,581957,3.25,0,140,8,24.056760207369273,1.3746720118496727,2003-04-06,-58,0,6
2003-02-08,581957,3.55,0,129,12,22.166586191075975,2.062008017774509,2003-04-06,-57,0,7
2003-02-09,581957,3.55,0.6,111,6,19.07357416441421,1.0310040088872545,2003-04-06,-56,0,1
2003-02-10,581957,2.5,0,114,9,19.589076168857837,1.546506013330882,2003-04-06,-55,0,2
2003-02-11,581957,1.95,0,115,8,19.760910170339045,1.3746720118496727,2003-04-06,-54,0,3
2003-02-12,581957,3.4,0,118,10,20.27641217478267,1.7183400148120909,2003-04-06,-53,0,4
2003-02-13,581957,3.45,0,116,14,19.932744171820254,2.405676020736927,2003-04-06,-52,0,5
2003-02-14,581957,7.5,0,137,10,23.541258202925643,1.7183400148120909,2003-04-06,-51,0,6
2003-02-15,581957,7.85,0.7,152,12,26.118768225143782,2.062008017774509,2003-04-06,-50,0,7
2003-02-16,581957,8.6,5.6,116,10,19.932744171820254,1.7183400148120909,2003-04-06,-49,0,1
2003-02-17,581957,6.9,3.2,128,8,21.994752189594763,1.3746720118496727,2003-04-06,-48,0,2
2003-02-18,581957,4.45,0.4,110,11,18.901740162933002,1.8901740162933,2003-04-06,-47,0,3
2003-02-19,581957,7.05,3.4,145,21,24.915930214775322,3.608514031105391,2003-04-06,-46,0,4
2003-02-20,581957,6.6,9,119,11,20.448246176263883,1.8901740162933,2003-04-06,-45,0,5
2003-02-21,581957,6.9,1.2,123,11,21.13558218218872,1.8901740162933,2003-04-06,-44,0,6
2003-02-22,581957,5.25,0,115,10,19.760910170339045,1.7183400148120909,2003-04-06,-43,0,7
2003-02-23,581957,2.54,0,84,8,14.434056124421565,1.3746720118496727,2003-04-06,-42,0,1
2003-02-24,581957,1.14,0,109,11,18.72990616145179,1.8901740162933,2003-04-06,-41,0,2
